,tweet_id,faves,retweets
1140,729838605770891264,1681,367
1141,729854734790754305,3917,1081
1142,730196704625098752,4699,1824
1143,730211855403241472,3711,1027
1144,730427201120833536,3385,1010
1145,730573383004487680,4745,2069
1146,730924654643314689,5973,1913
1147,731156023742988288,3730,1225
1148,731285275100512256,3394,964
1149,732005617171337216,14449,5216
1150,732375214819057664,7847,2424
1151,732585889486888962,3559,756
1152,732726085725589504,3456,863
1153,732732193018155009,2364,517
1154,733109485275860992,51903,16531
1155,733460102733135873,4056,1233
1156,733482008106668032,3042,913
1157,733822306246479872,3565,990
1158,733828123016450049,3477,753
1159,734776360183431168,2430,517
1160,734787690684657664,12174,6096
1161,734912297295085568,2675,511
1162,735137028879360001,3047,940
1163,735256018284875776,3237,849
1164,735274964362878976,12657,4850
1165,735635087207878657,5995,2270
1166,735648611367784448,3929,1069
1167,735991953473572864,3492,1106
1168,736010884653420544,7663,2880
1169,736225175608430592,7878,2697
1170,736365877722001409,3861,1195
1171,736736130620620800,4121,1665
1172,737310737551491075,14252,7183
1173,737322739594330112,3503,783
1174,737445876994609152,9964,4308
1175,737678689543020544,4898,1272
1176,737800304142471168,9722,3348
1177,737826014890496000,5120,1709
1178,738156290900254721,2436,620
1179,738166403467907072,8531,3237
1180,738184450748633089,4215,1176
1181,738402415918125056,3174,801
1182,738537504001953792,4950,1480
1183,738883359779196928,3218,764
1184,738885046782832640,3673,1107
1185,739238157791694849,112794,56200
1186,739485634323156992,6960,2837
1187,739544079319588864,38442,20538
1188,739606147276148736,5256,1598
1189,739844404073074688,3706,833
1190,739932936087216128,3953,1048
1191,739979191639244800,19430,5729
1192,740214038584557568,6524,1905
1193,740359016048689152,3210,837
1194,740365076218183684,2397,420
1195,740373189193256964,34141,12926
1196,740676976021798912,17708,6615
1197,740699697422163968,2775,753
1198,740711788199743490,3322,910
1199,740995100998766593,6181,2639
1200,741067306818797568,9289,2997
1201,741303864243200000,8563,3108
1202,741438259667034112,3594,792
1203,741743634094141440,7970,2660
1204,741793263812808706,4429,1465
1205,742150209887731712,4976,1501
